postal_code,lat,lon
26757,53.5885201,6.6981827
26789,53.2473451,7.4631566
26826,53.165921,7.3277997
26871,53.0588771,7.4115499
26919,53.3307224,8.4609759
26954,53.4929894,8.4449992
27211,52.8652515,8.7236031
27232,52.6732497,8.7733492
27239,52.7894297,8.5739545
27283,52.9410676,9.2354716
27356,53.1221131,9.3837763
27432,53.5003249,9.1015378
27474,53.8598163,8.6797249
27498,54.180936,7.8944449
27568,53.5647398,8.5607347
27574,53.5293496,8.6202271
27607,53.6651722,8.6666741
27711,53.2548631,8.8143193
27753,53.0559378,8.6126329
27777,53.0463762,8.5085079
27793,52.8804859,8.4017642
28199,53.0582015,8.7819123
28201,53.0584253,8.8134315
28205,53.0691935,8.8439859
28209,53.0911492,8.8254387
28239,53.1328965,8.7403034
28277,53.0377408,8.8146782
28325,53.0707564,8.9490378
28329,53.0785883,8.8765998
28755,53.1845794,8.6156812
28832,53.020744,9.0247073
28865,53.1687001,8.8742161
29221,52.6203439,10.0833118
29223,52.6390977,10.0493946
29378,52.6997891,10.7590279
29389,52.8452129,10.6795242
29410,52.8367097,11.1224073
29451,53.0993111,11.1039821
29525,52.9601701,10.5839438
29549,53.0726356,10.5776773
29614,53.0037852,9.8764867
29664,52.8384008,9.537698
29683,52.8830931,9.7714846
30161,52.3833242,9.7451797
30167,52.385172,9.7163711
30169,52.3650033,9.734567
30171,52.3652907,9.755981
30173,52.3577006,9.7622912
30175,52.3798539,9.7685285
30449,52.3626759,9.7119214
30459,52.344644,9.7208534
30559,52.363748,9.8486311
30625,52.3767893,9.8044982
30851,52.4316786,9.7372986
30853,52.4472732,9.7451336
30880,52.2939826,9.8339737
30938,52.5347819,9.8879666
30989,52.3238201,9.5761721
31028,52.0770153,9.806185
31061,51.9824426,9.8330835
31134,52.1426466,9.9525357
31135,52.1633125,9.9996779
31226,52.2945922,10.158662
31275,52.3766964,10.018552
31319,52.3250836,9.9770473
31515,52.4314007,9.4281628
31535,52.5582203,9.4766529
31582,52.6392212,9.2178118
31592,52.5091235,9.0122568
31655,52.3060183,9.2288558
31683,52.2637809,9.1543497
31737,52.1601278,9.0933027
31785,52.1054558,9.3625582
31812,51.9661087,9.308912
31840,52.1575431,9.2762407
31848,52.2027007,9.4163507
31855,52.0593273,9.2526111
31863,52.1019059,9.4874721
32049,52.1329377,8.7083637
32051,52.1054027,8.612086
32052,52.0904839,8.6590196
32105,52.0890558,8.7396016
32108,52.0756166,8.792052
32120,52.1558576,8.6412684
32130,52.1364999,8.5587873
32257,52.2106441,8.562226
32312,52.3050809,8.6363819
32369,52.4618895,8.6339956
32423,52.2949237,8.9504689
32429,52.2706938,8.8520444
32545,52.1879701,8.7937964
32657,52.0401615,8.8927086
32756,51.9367551,8.869747
32791,51.9763146,8.7983257
32805,51.8581679,8.9429367
32839,51.8478642,9.0513883
33014,51.7203865,9.0483241
33034,51.7129456,9.1830251
33098,51.7095424,8.7499976
33100,51.7188767,8.8204875
33102,51.7348667,8.7435347
33154,51.6672796,8.607454
33175,51.7923208,8.8205268
33332,51.8972222,8.4006525
33334,51.9165813,8.33135
33375,,
33378,51.8441657,8.317883
33428,51.9702288,8.209687
33604,52.0051203,8.5501188
33611,52.0486736,8.5484674
33615,52.0349288,8.5047048
33617,52.0073291,8.5254446
33647,51.9774822,8.5129855
33790,52.0447282,8.3391899
34117,51.3157257,9.4926363
34119,51.3186361,9.4646762
34121,51.3002063,9.4799194
34125,51.3319478,9.5354403
34127,51.3389794,9.4884025
34128,51.3393952,9.4229958
34131,51.3152285,9.4037337
34134,51.281887,9.4734412
34212,51.1369163,9.569707
34260,51.2761036,9.642598
34308,51.2430484,9.2537855
34346,51.4570402,9.6671219
34369,51.4845616,9.4033474
34376,51.4339537,9.481539
34399,51.5944648,9.6066928
34414,51.5098978,9.1330182
34431,51.4603604,8.851847
34454,51.3580471,9.0287501
34466,51.3258575,9.1865661
34471,51.4112737,9.0864558
34497,51.2713564,8.850139
34537,51.0865817,9.0761353
34560,51.142141,9.2616807
34590,51.0968514,9.3422293
34596,51.0567526,9.1745825
34613,50.9183666,9.2003016
35039,50.812505,8.7857668
35041,50.8149442,8.6959349
